Year,Year_ending,Police_Region,Local_Government_Area,Incidents_Recorded,"Rate_per_1k_population"
2022,March,1 North West Metro, Banyule,"5,244","4,086.9"
2022,March,1 North West Metro, Brimbank,"12,330","6,201.0"
2022,March,1 North West Metro, Darebin,"9,276","5,751.5"
2022,March,1 North West Metro, Hobsons Bay,"4,599","4,804.9"
2022,March,1 North West Metro, Hume,"12,196","4,919.7"
2022,March,1 North West Metro, Maribyrnong,"7,025","7,487.0"
2022,March,1 North West Metro, Melbourne,"25,036","14,582.3"
2022,March,1 North West Metro, Melton,"8,805","4,668.5"
2022,March,1 North West Metro, Moonee Valley,"6,018","4,685.6"
2022,March,1 North West Metro, Moreland,"9,173","4,992.2"
2022,March,1 North West Metro, Nillumbik,"1,319","2,063.8"
2022,March,1 North West Metro, Whittlesea,"8,939","3,720.5"
2022,March,1 North West Metro, Wyndham,"12,094","4,048.9"
2022,March,1 North West Metro, Yarra,"8,790","8,734.4"
2022,March,1 North West Metro,Total,"1,30,844","5,684.3"
2022,March,2 Eastern, Alpine,371,"2,827.3"
2022,March,2 Eastern, Bass Coast,"2,147","5,360.6"
2022,March,2 Eastern, Baw Baw,"3,036","5,205.7"
2022,March,2 Eastern, Benalla,978,"6,900.9"
2022,March,2 Eastern, Boroondara,"5,448","3,117.5"
2022,March,2 Eastern, East Gippsland,"3,640","7,434.7"
2022,March,2 Eastern, Greater Shepparton,"5,785","8,622.3"
2022,March,2 Eastern, Indigo,465,"2,718.1"
2022,March,2 Eastern, Knox,"6,631","4,132.5"
2022,March,2 Eastern, Latrobe,"7,826","10,243.8"
2022,March,2 Eastern, Manningham,"2,867","2,288.3"
2022,March,2 Eastern, Mansfield,339,"3,430.6"
2022,March,2 Eastern, Maroondah,"5,094","4,367.5"
2022,March,2 Eastern, Mitchell,"2,350","4,589.9"
2022,March,2 Eastern, Moira,"1,573","5,218.4"
2022,March,2 Eastern, Monash,"8,309","4,227.5"
2022,March,2 Eastern, Murrindindi,531,"3,545.5"
2022,March,2 Eastern, South Gippsland,"1,194","3,896.2"
2022,March,2 Eastern, Strathbogie,446,"3,943.8"
2022,March,2 Eastern, Towong,148,"2,424.0"
2022,March,2 Eastern, Wangaratta,"1,655","5,593.2"
2022,March,2 Eastern, Wellington,"2,964","6,528.4"
2022,March,2 Eastern, Whitehorse,"5,459","3,120.2"
2022,March,2 Eastern, Wodonga,"2,682","6,124.5"
2022,March,2 Eastern, Yarra Ranges,"4,986","3,164.3"
2022,March,2 Eastern,Total,"76,924","4,486.7"
2022,March,3 Southern Metro, Bayside,"3,346","3,217.4"
2022,March,3 Southern Metro, Cardinia,"4,618","3,835.9"
2022,March,3 Southern Metro, Casey,"14,154","3,790.4"
2022,March,3 Southern Metro, Frankston,"8,319","5,958.0"
2022,March,3 Southern Metro, Glen Eira,"5,032","3,284.9"
2022,March,3 Southern Metro, Greater Dandenong,"11,369","7,044.5"
2022,March,3 Southern Metro, Kingston,"6,823","4,194.1"
2022,March,3 Southern Metro, Mornington Peninsula,"6,420","3,806.3"
2022,March,3 Southern Metro, Port Phillip,"9,157","8,215.7"
2022,March,3 Southern Metro, Stonnington,"7,820","6,914.2"
2022,March,3 Southern Metro,Total,"77,058","4,792.4"
