"stop_id","stop_lat","stop_long","stop_name","stop_suburb","stop_type"
"B-1    ",-37.70077481,145.0189511,"Dole Ave/Cheddar Rd                                                   ","Reservoir                                         ","B   "
"B-10   ",-37.67530436,144.5887764,"Raleighs Rd/Centenary Ave                                             ","Melton                                            ","B   "
"B-100  ",-37.97603147,145.0211016,"Cullinane St/Balcombe Rd                                              ","Black Rock                                        ","B   "
"B-1000 ",-38.14170177,145.1575054,"Lindrum Rd/Karingal Dr                                                ","Frankston                                         ","B   "
"B-10000",-38.07127822,145.467659,"Funston Ct/Duncan Dr                                                  ","Pakenham                                          ","B   "
"B-10001",-38.06916799,145.4668595,"Dobson Ct/Duncan Dr                                                   ","Pakenham                                          ","B   "
"B-10002",-38.06683996,145.4666345,"Princes Hwy/Duncan Dr                                                 ","Pakenham                                          ","B   "
"B-10003",-38.06490404,145.4646915,"Rundell Way/Princes Hwy                                               ","Pakenham                                          ","B   "
"B-10004",-38.06363083,145.461743,"Warwick Bayley Oval/Princes Hwy                                       ","Pakenham                                          ","B   "
"B-10005",-37.80481543,144.9691062,"Exhibition Building/Rathdowne St                                      ","Carlton                                           ","B   "
"B-10006",-38.063242,145.4363778,"Cardinia Rd/Princes Hwy                                               ","Pakenham                                          ","B   "
"B-10007",-38.06263872,145.4189053,"McMullen Rd/Princes Hwy                                               ","Officer                                           ","B   "
"B-10008",-38.06116161,145.4142866,"Officer Recreation Reserve/Princes Hwy                                ","Officer                                           ","B   "
"B-10009",-38.05998875,145.4081911,"Station St/Princes Hwy                                                ","Officer                                           ","B   "
"B-1001 ",-38.14072961,145.1558526,"Devon Ct/Karingal Dr                                                  ","Frankston                                         ","B   "
"B-10010",-38.05954003,145.4056705,"Bayview Rd/Princes Hwy                                                ","Officer                                           ","B   "
"B-10011",-38.0567554,145.3904695,"Brunt Rd/Princes Hwy                                                  ","Officer                                           ","B   "
"B-10012",-38.05417658,145.37922,"O'Neil Rd/Princes Hwy                                                 ","Beaconsfield                                      ","B   "
"B-10013",-37.80229978,144.9695499,"Melbourne Museum/Rathdowne St                                         ","Carlton                                           ","B   "
"B-10014",-38.0426943,145.3648302,"Haileybury College/Princes Hwy                                        ","Berwick                                           ","B   "
"B-10015",-38.04052325,145.3616537,"Cardinia St/Princes Hwy                                               ","Berwick                                           ","B   "
"B-10016",-38.03931413,145.3596068,"Bryn Mawr Bvd/Princes Hwy                                             ","Berwick                                           ","B   "
"B-10017",-38.03542963,145.3537799,"Edrington Park Retirement Village/Princes Hwy                         ","Berwick                                           ","B   "
"B-10018",-38.03213684,145.348396,"Rutland Rd/Princes Hwy                                                ","Berwick                                           ","B   "
"B-10019",-38.03130011,145.345931,"Berwick Shopping Centre/High St                                       ","Berwick                                           ","B   "
"B-1002 ",-38.13884379,145.1522603,"Flam St/Ashleigh Ave                                                  ","Frankston                                         ","B   "
"B-10020",-38.03100249,145.3401612,"York Rd/Princes Hwy                                                   ","Berwick                                           ","B   "
"B-10021",-38.03006691,145.3351806,"Wilson Botanic Park/Princes Hwy                                       ","Berwick                                           ","B   "
"B-10022",-37.80069174,144.9698438,"Grattan St/Rathdowne St                                               ","Carlton                                           ","B   "
"B-10023",-38.02963491,145.3314078,"William Rd/Princes Hwy                                                ","Berwick                                           ","B   "
"B-10024",-37.93109847,145.0178357,"Ivy St/South Rd                                                       ","Brighton East                                     ","B   "
"B-10025",-37.93374978,145.0399971,"Redholme St/South Rd                                                  ","Moorabbin                                         ","B   "
"B-10026",-37.98002035,145.0538406,"Mentone Girls Secondary College/Balcombe Rd                           ","Mentone                                           ","B   "
"B-10027",-37.98955805,145.1318266,"Braeside Park/Lower Dandenong Rd                                      ","Dingley Village                                   ","B   "
"B-10028",-37.99301322,145.1617901,"Chapel Rd/Cheltenham Rd                                               ","Keysborough                                       ","B   "
"B-10029",-37.98725032,145.1695971,"Turramurra Dr/Kingsclere Ave                                          ","Keysborough                                       ","B   "
"B-1003 ",-38.13976619,145.1484603,"Golconda Ave/Ashleigh Ave                                             ","Frankston                                         ","B   "
"B-10030",-37.9811691,145.1772512,"Ainsley Ave/Bloomfield Rd                                             ","Noble Park                                        ","B   "
"B-10031",-37.97434159,145.186801,"Chandler Rd/Railway Pde                                               ","Noble Park                                        ","B   "
"B-10032",-37.79776233,144.9703329,"Elgin St/Rathdowne St                                                 ","Carlton                                           ","B   "
"B-10033",-37.9096989,144.9967423,"Boxshall St/St Andrews St                                             ","Brighton                                          ","B   "
"B-10034",-37.91200385,144.9934494,"Church St/St Andrews St                                               ","Brighton                                          ","B   "
"B-10035",-37.92010641,145.0014539,"Dendy St/Church St                                                    ","Brighton                                          ","B   "
"B-10036",-37.92180081,145.0030576,"Peacock St/Roslyn St                                                  ","Brighton                                          ","B   "
