"stop_suburb","stop_type","count"
"Abbotsford                                        ","B   ",16
"Abbotsford                                        ","T   ",2
"Abbotsford                                        ","TR  ",4
"Aberfeldie                                        ","B   ",18
"Acheron                                           ","B   ",2
"Airport West                                      ","B   ",50
"Airport West                                      ","TR  ",10
"Albanvale                                         ","B   ",26
"Albert Park                                       ","B   ",7
"Albert Park                                       ","TR  ",13
"Albion                                            ","B   ",23
"Alexandra                                         ","B   ",1
"Alphington                                        ","B   ",24
"Alphington                                        ","T   ",1
"Altona                                            ","B   ",72
"Altona                                            ","T   ",2
"Altona Meadows                                    ","B   ",46
"Altona North                                      ","B   ",108
"Ardeer                                            ","B   ",19
"Armadale                                          ","B   ",20
"Armadale                                          ","T   ",2
"Armadale                                          ","TR  ",28
"Ascot Vale                                        ","B   ",47
"Ascot Vale                                        ","T   ",1
"Ascot Vale                                        ","TR  ",22
"Ashburton                                         ","B   ",29
"Ashburton                                         ","T   ",2
"Ashwood                                           ","B   ",32
"Aspendale                                         ","B   ",19
"Aspendale                                         ","T   ",1
"Aspendale Gardens                                 ","B   ",17
"Attwood                                           ","B   ",5
"Avondale Heights                                  ","B   ",46
"Avonsleigh                                        ","B   ",6
"Badger Creek                                      ","B   ",9
"Balaclava                                         ","B   ",1
"Balaclava                                         ","T   ",1
"Balaclava                                         ","TR  ",12
"Balnarring                                        ","B   ",1
"Balwyn                                            ","B   ",52
"Balwyn                                            ","TR  ",18
"Balwyn North                                      ","B   ",77
"Balwyn North                                      ","TR  ",12
"Bangholme                                         ","B   ",11
"Baxter                                            ","B   ",10
"Baxter                                            ","T   ",1
"Bayswater                                         ","B   ",61
"Bayswater                                         ","T   ",1
"Bayswater North                                   ","B   ",66
"Beaconsfield                                      ","B   ",26
"Beaconsfield                                      ","T   ",1
"Beaumaris                                         ","B   ",69
"Belgrave                                          ","B   ",33
"Belgrave                                          ","T   ",1
"Belgrave Heights                                  ","B   ",8
"Belgrave South                                    ","B   ",15
"Bellfield                                         ","B   ",18
"Bendigo                                           ","B   ",128
"Bentleigh                                         ","B   ",53
"Bentleigh                                         ","T   ",2
"Bentleigh East                                    ","B   ",142
"Berwick                                           ","B   ",209
"Berwick                                           ","T   ",1
"Beveridge                                         ","B   ",9
"Bittern                                           ","B   ",12
"Bittern                                           ","T   ",1
"Blackburn                                         ","B   ",85
"Blackburn                                         ","T   ",2
"Blackburn North                                   ","B   ",43
"Blackburn South                                   ","B   ",49
"Black Rock                                        ","B   ",25
"Blairgowrie                                       ","B   ",34
"Blind Bight                                       ","B   ",11
"Bonbeach                                          ","B   ",12
"Bonbeach                                          ","T   ",1
"Boronia                                           ","B   ",114
"Boronia                                           ","T   ",1
"Botanic Ridge                                     ","B   ",13
"Box Hill                                          ","B   ",89
"Box Hill                                          ","T   ",1
"Box Hill                                          ","TR  ",5
"Box Hill North                                    ","B   ",49
"Box Hill South                                    ","B   ",50
"Braeside                                          ","B   ",34
"Braybrook                                         ","B   ",41
"Briar Hill                                        ","B   ",19
"Brighton                                          ","B   ",107
"Brighton                                          ","T   ",4
"Brighton East                                     ","B   ",59
"Brighton East                                     ","TR  ",11
"Broadmeadows                                      ","B   ",88
"Broadmeadows                                      ","T   ",1
"Brookfield                                        ","B   ",20
"Brooklyn                                          ","B   ",26
"Brunswick                                         ","B   ",73
"Brunswick                                         ","T   ",3
"Brunswick                                         ","TR  ",25
"Brunswick East                                    ","B   ",33
"Brunswick East                                    ","TR  ",21
"Brunswick West                                    ","B   ",83
"Brunswick West                                    ","TR  ",18
"Bulla                                             ","B   ",6
"Bulleen                                           ","B   ",55
"Bundoora                                          ","B   ",109
"Bundoora                                          ","TR  ",23
"Burnley                                           ","T   ",1
"Burnley                                           ","TR  ",8
"Burnside                                          ","B   ",32
"Burnside Heights                                  ","B   ",3
"Burwood                                           ","B   ",56
"Burwood                                           ","TR  ",17
"Burwood East                                      ","B   ",47
"Burwood East                                      ","TR  ",13
"Buxton                                            ","B   ",3
"Cairnlea                                          ","B   ",16
"California Gully                                  ","B   ",23
"Camberwell                                        ","B   ",51
"Camberwell                                        ","T   ",5
"Camberwell                                        ","TR  ",65
"Campbellfield                                     ","B   ",42
"Cannons Creek                                     ","B   ",5
"Canterbury                                        ","B   ",24
"Canterbury                                        ","T   ",1
"Canterbury                                        ","TR  ",7
"Carlton                                           ","B   ",40
"Carlton                                           ","TR  ",14
"Carlton North                                     ","B   ",20
"Carlton North                                     ","TR  ",12
"Carnegie                                          ","B   ",47
"Carnegie                                          ","T   ",1
"Carnegie                                          ","TR  ",11
"Caroline Springs                                  ","B   ",87
"Carrum                                            ","B   ",25
"Carrum                                            ","T   ",1
"Carrum Downs                                      ","B   ",116
"Caulfield                                         ","B   ",10
"Caulfield                                         ","TR  ",21
"Caulfield East                                    ","B   ",3
"Caulfield East                                    ","T   ",1
"Caulfield East                                    ","TR  ",10
"Caulfield North                                   ","B   ",40
"Caulfield North                                   ","TR  ",37
"Caulfield South                                   ","B   ",32
"Caulfield South                                   ","TR  ",12
"Chadstone                                         ","B   ",35
"Chelsea                                           ","B   ",30
"Chelsea                                           ","T   ",1
"Chelsea Heights                                   ","B   ",43
"Cheltenham                                        ","B   ",136
"Cheltenham                                        ","T   ",2
"Chirnside Park                                    ","B   ",33
"Chum Creek                                        ","B   ",2
"Clarinda                                          ","B   ",40
"Clayton                                           ","B   ",86
"Clayton                                           ","T   ",1
"Clayton South                                     ","B   ",73
"Clayton South                                     ","T   ",1
"Clematis                                          ","B   ",9
"Clifton Hill                                      ","B   ",20
"Clifton Hill                                      ","T   ",1
"Clifton Hill                                      ","TR  ",8
"Clyde                                             ","B   ",16
"Clyde North                                       ","B   ",75
"Coburg                                            ","B   ",97
"Coburg                                            ","T   ",2
"Coburg                                            ","TR  ",38
"Coburg North                                      ","B   ",50
"Coburg North                                      ","T   ",2
"Coburg North                                      ","TR  ",5
"Cockatoo                                          ","B   ",22
"Coldstream                                        ","B   ",20
"Collingwood                                       ","B   ",11
